frame,circular_count,fixed_count,dead_count,fragment_count,avg_brightness,avg_circular_area,avg_fixed_area,avg_dead_area,avg_fragment_area
0,139,0,0,17,127.59336507161458,201.82014388489208,0.0,0.0,35.294117647058826
1,143,0,0,25,127.48415771484375,176.3146853146853,0.0,0.0,38.76
2,176,0,0,22,127.4969287109375,166.98295454545453,0.0,0.0,35.22727272727273
3,157,0,0,28,127.54035888671875,192.85987261146497,0.0,0.0,35.17857142857143
4,144,0,0,32,127.37387369791666,162.40972222222223,0.0,0.0,36.28125
5,170,0,0,19,127.43082763671875,163.99411764705883,0.0,0.0,36.8421052631579
6,162,0,0,24,127.4791015625,173.08641975308643,0.0,0.0,37.791666666666664
7,165,0,0,15,127.52873291015625,187.05454545454546,0.0,0.0,39.86666666666667
8,172,0,0,18,127.57786865234375,179.79651162790697,0.0,0.0,39.22222222222222
9,176,0,0,9,127.61340006510417,187.52272727272728,0.0,0.0,38.55555555555556
10,157,0,0,14,127.62000325520833,214.51592356687897,0.0,0.0,41.42857142857143
11,175,0,0,11,127.63805094401042,214.33714285714285,0.0,0.0,38.45454545454545
12,154,0,0,9,127.65085367838542,216.65584415584416,0.0,0.0,39.333333333333336
13,166,0,0,9,127.670029296875,213.99397590361446,0.0,0.0,43.111111111111114
14,184,0,0,7,127.67729166666666,240.47826086956522,0.0,0.0,38.57142857142857
15,184,0,0,4,127.69365234375,236.6304347826087,0.0,0.0,40.0
16,171,0,0,6,127.68554606119791,242.12280701754386,0.0,0.0,39.166666666666664
17,165,0,0,5,127.67942464192708,244.38181818181818,0.0,0.0,37.6
18,157,0,0,5,127.6879345703125,261.7770700636943,0.0,0.0,39.0
19,164,0,0,2,127.68257405598958,274.4878048780488,0.0,0.0,27.0
20,161,0,0,6,127.69149169921874,266.1801242236025,0.0,0.0,37.666666666666664
21,161,0,0,0,127.67440836588541,287.17391304347825,0.0,0.0,0.0
22,163,0,0,5,127.68222981770833,291.92024539877303,0.0,0.0,43.8
23,171,0,0,4,127.67832438151042,278.4795321637427,0.0,0.0,43.25
24,168,0,0,9,127.67345540364583,284.4583333333333,0.0,0.0,41.0
25,168,0,0,3,127.66742594401042,263.0297619047619,0.0,0.0,39.0
26,168,0,0,8,127.64709228515625,284.4761904761905,0.0,0.0,38.5
27,137,0,0,4,127.71716634114583,323.3211678832117,0.0,0.0,36.25
28,146,0,0,6,127.6298583984375,260.64383561643837,0.0,0.0,41.833333333333336
29,160,0,0,6,127.66927571614583,307.7125,0.0,0.0,35.5
30,147,0,0,4,127.6263427734375,289.86394557823127,0.0,0.0,37.5
31,162,0,0,2,127.61783121744791,324.15432098765433,0.0,0.0,44.0
32,146,0,0,6,127.60179443359375,309.541095890411,0.0,0.0,38.333333333333336
33,139,0,0,3,127.58142903645833,300.0143884892086,0.0,0.0,37.333333333333336
34,145,0,0,3,127.59588623046875,304.6620689655172,0.0,0.0,36.333333333333336
35,150,0,0,5,127.57410888671875,287.67333333333335,0.0,0.0,40.2
36,147,0,0,5,127.55618245442709,290.5578231292517,0.0,0.0,35.2
37,150,0,0,5,127.53702718098958,309.1933333333333,0.0,0.0,40.4
38,157,0,0,2,127.53273844401042,291.4331210191083,0.0,0.0,45.0
39,157,0,0,4,127.50036214192708,294.64331210191085,0.0,0.0,32.25
40,142,0,0,4,127.4702001953125,279.0211267605634,0.0,0.0,32.5
41,157,0,0,8,127.43859212239583,306.03821656050957,0.0,0.0,38.875
42,147,0,0,8,127.39691975911458,280.23809523809524,0.0,0.0,38.875
43,193,0,0,8,127.52767903645834,339.9378238341969,0.0,0.0,40.0
44,162,0,0,5,127.34250081380209,292.4382716049383,0.0,0.0,40.8
45,162,0,0,4,127.31046712239583,281.61728395061726,0.0,0.0,35.5
46,169,0,0,4,127.26763427734375,290.8816568047337,0.0,0.0,42.0
47,154,0,0,4,127.24220052083334,290.04545454545456,0.0,0.0,40.5
48,180,0,0,1,127.22567301432292,273.89444444444445,0.0,0.0,24.0
49,186,0,0,5,127.19703531901041,287.23118279569894,0.0,0.0,40.2
50,182,0,0,7,127.14786539713542,290.16483516483515,0.0,0.0,39.0
51,0,200,0,5,127.087021484375,0.0,268.085,0.0,33.2
52,0,212,0,1,127.06983317057292,0.0,273.58490566037733,0.0,33.0
53,0,248,0,10,127.29855712890625,0.0,293.8266129032258,0.0,39.3
54,0,272,0,4,127.35678955078124,0.0,294.30882352941177,0.0,43.5
55,0,272,0,9,127.2955615234375,0.0,279.5845588235294,0.0,40.44444444444444
56,0,283,0,6,127.264716796875,0.0,287.85865724381625,0.0,42.833333333333336
57,0,272,0,6,127.27471110026042,0.0,283.3272058823529,0.0,46.333333333333336
58,0,279,0,4,127.34208658854166,0.0,294.5483870967742,0.0,35.5
59,0,283,0,4,127.3164697265625,0.0,288.07067137809184,0.0,35.0
60,0,258,0,1,127.2450634765625,0.0,285.3488372093023,0.0,37.0
61,0,241,0,5,126.9844287109375,0.0,263.6846473029046,0.0,38.6
62,0,293,0,3,127.22956705729166,0.0,278.1399317406143,0.0,41.0
63,0,256,0,5,126.94203531901042,0.0,270.97265625,0.0,38.0
64,0,297,0,5,127.30719075520834,0.0,291.2929292929293,0.0,35.8
65,0,289,0,6,127.25539225260417,0.0,279.97923875432525,0.0,34.166666666666664
66,0,262,0,5,127.23960042317708,0.0,272.293893129771,0.0,38.0
67,0,259,0,4,127.23409993489584,0.0,269.5945945945946,0.0,35.25
68,0,289,0,3,127.28519856770833,0.0,268.1384083044983,0.0,44.0
69,0,279,0,1,127.2782666015625,0.0,269.98566308243727,0.0,29.0
70,0,288,0,2,127.29339680989584,0.0,270.2291666666667,0.0,41.5
71,0,258,0,4,127.28106852213541,0.0,279.5232558139535,0.0,40.0
72,0,286,0,3,127.31456787109374,0.0,288.5034965034965,0.0,41.333333333333336
73,0,278,0,3,127.30639567057291,0.0,288.63309352517985,0.0,38.0
74,0,301,0,2,127.32340576171875,0.0,284.4750830564784,0.0,39.5
75,0,291,0,2,127.32198649088542,0.0,276.2783505154639,0.0,47.0
76,0,315,0,2,127.30859212239584,0.0,278.22539682539684,0.0,46.0
77,0,304,0,1,127.31251383463541,0.0,291.67105263157896,0.0,39.0
78,0,289,0,4,127.32554443359375,0.0,289.34948096885813,0.0,47.25
79,0,267,0,2,127.29723225911458,0.0,292.4082397003745,0.0,46.5
80,0,290,0,2,127.33160400390625,0.0,287.9655172413793,0.0,37.0
81,0,279,0,3,127.32926920572916,0.0,292.15770609319,0.0,34.666666666666664
82,0,263,0,5,127.32861490885416,0.0,282.51330798479086,0.0,41.2
83,0,290,0,2,127.38687825520833,0.0,297.0551724137931,0.0,43.5
84,0,283,0,2,127.35523600260417,0.0,275.9469964664311,0.0,39.5
85,0,279,0,3,127.37287679036459,0.0,281.0179211469534,0.0,38.666666666666664
86,0,285,0,0,127.3357568359375,0.0,274.8456140350877,0.0,0.0
87,0,269,0,3,127.34312093098958,0.0,269.81412639405204,0.0,42.0
88,0,244,0,2,127.36045247395833,0.0,277.23770491803276,0.0,36.5
89,0,259,0,1,127.36335123697917,0.0,277.3243243243243,0.0,42.0
90,0,279,0,3,127.38776041666667,0.0,275.8673835125448,0.0,48.0
91,0,273,0,0,127.38814697265624,0.0,278.42490842490844,0.0,0.0
92,0,242,0,1,127.37956787109376,0.0,275.0,0.0,47.0
